Entity,Year,Mean BMI (male),Year,Mean BMI (female),Year,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
,,,,,2016.0,779.55444,1944.5719
,,,,,2016.0,603.2729,1645.2936
,,,,,2016.0,443.29184,1464.2046
,,,,,2016.0,868.0529,1767.688
,,,,,2016.0,419.00958,2120.4712
,,,,,2016.0,1033.0902,1725.9623
,,,,,2016.0,638.9647,2435.5332
,,,,,2016.0,1009.7606,1596.2798
,,,,,2016.0,1246.3394,1663.3896
,,,,,2016.0,219.52907,1700.8013
,,,,,2016.0,1204.0837,1708.6697
,,,,,2016.0,506.0221,1734.4674
,,,,,2016.0,778.3989,1913.3579
,,,,,2016.0,908.1222,1640.8306
,,,,,2016.0,456.0171,1564.3147
,,,,,2016.0,357.21,1629.67
,,,,,2016.0,897.48,1907.2
,,,,,2016.0,986.22003,1911.8201
,,,,,2016.0,856.50024,1451.3748
,,,,,2016.0,489.48035,2302.812
,,,,,2016.0,541.4258,1814.6365
,,,,,2016.0,1075.6555,1656.5283
,,,,,2016.0,251.67407,1880.4219
,,,,,2016.0,1171.3232,1807.5646
,,,,,2016.0,1164.33,1796.6699
,,,,,2016.0,1275.9126,1749.1338
,,,,,2016.0,1269.99,1740.85
,,,,,2016.0,611.5206,1710.0248
,,,,,2016.0,1401.3271,1817.7839
,,,,,2016.0,1054.4077,1331.5886
,,,,,2016.0,459.98395,1813.1589
,,,,,2016.0,517.99426,1604.2853
,,,,,2016.0,671.0106,2041.27
,,,,,2016.0,1303.81,1829.2714
,,,,,2016.0,342.34143,2228.7031
,,,,,2016.0,1310.6829,1568.5691
,,,,,2016.0,670.62836,1362.2625
,,,,,2016.0,621.87,1629.1666
,,,,,2016.0,580.1416,1884.2991
,,,,,2016.0,536.3327,1433.3773
,,,,,2016.0,514.435,2260.1096
,,,,,2016.0,434.44604,1533.3752
,,,,,2016.0,1254.1259,1739.4711
,,,,,2016.0,744.2731,1616.2811
,,,,,2016.0,1137.3468,1495.6146
,,,,,2016.0,1337.97,1546.1045
,,,,,2016.0,1460.2771,1515.6436
,,,,,2016.0,484.25793,1756.1796
,,,,,2016.0,519.3459,2127.9167
,,,,,2016.0,677.25574,1955.1699
,,,,,2016.0,533.42426,1326.4197
,,,,,2016.0,1210.9764,2075.6526
,,,,,2016.0,1380.8134,1619.521
,,,,,2016.0,1331.4379,1753.8889
,,,,,2016.0,720.9686,1768.2365
,,,,,2016.0,783.1245,1583.3218
,,,,,2016.0,776.70496,1616.546
,,,,,2016.0,1123.265,1617.168
,,,,,2016.0,379.4835,1548.8535
,,,,,2016.0,1059.0515,1599.7743
,,,,,2016.0,934.8205,2037.3209
,,,,,2016.0,596.5906,1754.3671
,,,,,2016.0,490.94998,1755.05
,,,,,2016.0,406.80426,1988.4832
,,,,,2016.0,1116.2057,1697.3799
,,,,,2016.0,402.48,1744.3201
,,,,,2016.0,866.0384,1965.1875
,,,,,2016.0,405.66467,1428.3
,,,,,2016.0,497.03403,1480.6533
,,,,,2016.0,810.45087,2078.303
,,,,,2016.0,865.9431,1988.2026
,,,,,2016.0,372.86383,1651.8881
,,,,,2016.0,521.8712,1825.2886
,,,,,2016.0,1251.3975,1746.3347
,,,,,2016.0,1344.0059,1453.3823
,,,,,2016.0,207.33658,1493.9166
,,,,,2016.0,431.3798,1870.024
,,,,,2016.0,795.7399,1655.3293
,,,,,2016.0,538.01917,1575.1194
,,,,,2016.0,496.0329,1943.8496
,,,,,2016.0,964.5625,1764.4353
,,,,,2016.0,621.90295,1968.928
,,,,,2016.0,798.0127,1800.7976
,,,,,2016.0,914.8948,1933.6774
,,,,,2016.0,1110.87,1678.05
,,,,,2016.0,378.54,1713.6599
,,,,,2016.0,838.2821,2189.0747
,,,,,2016.0,1105.5857,1306.7662
,,,,,2016.0,1236.6652,1758.3335
,,,,,2016.0,622.05164,2401.0803
,,,,,2016.0,334.15295,1327.1765
,,,,,2016.0,767.64056,1699.8162
,,,,,2016.0,516.9969,1707.8152
,,,,,2016.0,551.30365,1978.822
,,,,,2016.0,481.23,1774.29
,,,,,2016.0,1161.9797,1625.0662
,,,,,2016.0,990.82184,1454.3816
,,,,,2016.0,1023.9127,1736.8618
,,,,,2016.0,547.0039,1778.7888
,,,,,2016.0,456.17706,1804.2292
,,,,,2016.0,511.76053,1824.7087
,,,,,2016.0,1233.3843,1809.3013
,,,,,2016.0,325.11157,1530.8632
,,,,,2016.0,912.57764,1741.8243
,,,,,2016.0,643.86,2224.06
,,,,,2016.0,1490.22,1796.8201
,,,,,2016.0,1227.51,1710.21
,,,,,2016.0,1281.6067,1684.2117
,,,,,2016.0,1140.0404,1529.6857
,,,,,2016.0,1159.29,1555.59
,,,,,2016.0,705.7505,1891.6556
,,,,,2016.0,662.2626,1437.7823
,,,,,2016.0,727.6818,1761.3718
,,,,,2016.0,478.43542,1343.2461
,,,,,2016.0,844.8512,1814.898
,,,,,2016.0,523.89716,1871.0895
,,,,,2016.0,515.7042,1838.231
,,,,,2016.0,1099.5602,1892.8984
,,,,,2016.0,1205.212,1721.5946
,,,,,2016.0,1098.979,1989.9371
,,,,,2016.0,980.8598,1956.5334
,,,,,2016.0,242.68315,1671.4359
,,,,,2016.0,1025.2855,1444.1434
,,,,,2016.0,773.87274,1550.602
,,,,,2016.0,770.5734,1897.4893
,,,,,2016.0,1156.6869,1355.4065
,,,,,2016.0,634.6825,1545.3853
,,,,,2016.0,944.651,1914.6904
,,,,,2016.0,607.7958,1716.0911
,,,,,2016.0,899.3442,2023.3914
,,,,,2016.0,856.51355,1666.3933
,,,,,2016.0,411.13852,1629.3854
,,,,,2016.0,1144.8209,1411.0891
,,,,,2016.0,1023.137,1725.2739
,,,,,2016.0,643.41,1763.31
,,,,,2016.0,406.5763,1740.1104
,,,,,2016.0,790.6061,1780.9905
,,,,,2016.0,953.6846,1728.2683
,,,,,2016.0,955.8,1732.0
,,,,,2016.0,1013.0229,1967.9781
,,,,,2016.0,576.36,1962.4402
,,,,,2016.0,759.69006,1768.27
,,,,,2016.0,503.19,1775.89
,,,,,2016.0,1253.97,1661.87
,,,,,2016.0,1354.0353,1500.2795
,,,,,2016.0,443.88855,1941.4127
,,,,,2016.0,620.03076,1691.0186
,,,,,2016.0,688.1596,1701.3782
,,,,,2016.0,1227.0935,1505.552
,,,,,2016.0,1397.894,1581.95
,,,,,2016.0,837.6827,1498.5527
,,,,,2016.0,1154.0496,1465.7197
,,,,,2016.0,616.9629,1623.3503
,,,,,2016.0,488.4832,1586.99
,,,,,2016.0,567.40094,1901.7104
,,,,,2016.0,455.578,1699.7424
,,,,,2016.0,747.4115,1713.6304
,,,,,2016.0,821.24176,2126.4724
,,,,,2016.0,1060.2167,2147.3123
,,,,,2016.0,690.57556,1733.699
,,,,,2016.0,433.10876,1433.4124
,,,,,2016.0,704.8851,2024.2173
,,,,,2016.0,994.76984,1833.5907
,,,,,2016.0,1253.4326,1728.2365
,,,,,2016.0,1479.292,1788.2406
,,,,,2016.0,910.37463,1914.5801
,,,,,2016.0,950.26965,1869.7974
,,,,,2016.0,813.21063,2041.0583
,,,,,2016.0,943.2142,1546.2777
,,,,,2016.0,703.33923,1276.249
,,,,,2016.0,670.0341,1880.1898
,,,,,2016.0,501.30002,1901.82
,,,,,2016.0,869.76,1877.24
,,,,,2016.0,1329.57,1774.5902
,,,,,2016.0,750.5925,1811.7014
,,,,,2016.0,313.1363,1295.4866
,,,,,2016.0,433.69214,1460.493
,,,,,2016.0,598.83246,1226.4193
